Title                                                           12.07.2021 18:55
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  &293water-day5-30-180-5K
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0         24.132         30.000        11.3561
              1              1         24.130         30.083        11.3557
              2              2         24.127         30.167        11.3554
              3              3         24.164         30.250        11.3552
              4              4         24.190         30.333        11.3552
              5              5         24.225         30.417        11.3551
              6              6         24.255         30.500        11.3549
              7              7         24.294         30.583        11.3546
              8              8         24.329         30.667        11.3544
              9              9         24.359         30.750        11.3541
             10             10         24.406         30.833        11.3538
             11             11         24.440         30.917        11.3535
             12             12         24.474         31.000        11.3532
             13             13         24.502         31.083        11.3529
             14             14         24.557         31.167        11.3527
             15             15         24.586         31.250        11.3524
             16             16         24.637         31.333        11.3522
             17             17         24.673         31.417        11.3519
             18             18         24.723         31.500        11.3517
             19             19         24.762         31.583        11.3514
             20             20         24.804         31.667        11.3511
             21             21         24.849         31.750        11.3508
             22             22         24.902         31.833        11.3506
             23             23         24.940         31.917        11.3504
             24             24         24.993         32.000        11.3502
             25             25         25.064         32.083        11.3501
             26             26         25.114         32.167        11.3505
             27             27         25.155         32.250        11.3511
             28             28         25.209         32.333        11.3513
             29             29         25.267         32.417        11.3514
             30             30         25.307         32.500        11.3525
             31             31         25.365         32.583        11.3541
             32             32         25.426         32.667        11.3507
             33             33         25.476         32.750        11.3495
             34             34         25.538         32.833        11.3489
             35             35         25.602         32.917        11.3483
             36             36         25.658         33.000        11.3484
             37             37         25.719         33.083        11.3481
             38             38         25.774         33.167        11.3478
             39             39         25.834         33.250        11.3475
             40             40         25.899         33.333        11.3475
             41             41         25.951         33.417        11.3474
             42             42         26.022         33.500        11.3474
             43             43         26.075         33.583        11.3472
             44             44         26.142         33.667        11.3473
             45             45         26.212         33.750        11.3472
             46             46         26.274         33.833        11.3471
             47             47         26.322         33.917         11.347
             48             48         26.399         34.000        11.3467
             49             49         26.460         34.083        11.3464
             50             50         26.526         34.167        11.3462
             51             51         26.592         34.250         11.346
             52             52         26.654         34.333        11.3456
             53             53         26.726         34.417        11.3454
             54             54         26.786         34.500        11.3452
             55             55         26.860         34.583        11.3451
             56             56         26.927         34.667        11.3451
             57             57         27.005         34.750        11.3449
             58             58         27.078         34.833        11.3447
             59             59         27.137         34.917        11.3446
             60             60         27.211         35.000        11.3444
             61             61         27.289         35.083        11.3443
             62             62         27.346         35.167        11.3441
             63             63         27.434         35.250        11.3439
             64             64         27.495         35.333        11.3438
             65             65         27.576         35.417        11.3437
             66             66         27.652         35.500        11.3435
             67             67         27.720         35.583        11.3433
             68             68         27.781         35.667        11.3432
             69             69         27.871         35.750        11.3432
             70             70         27.960         35.833        11.3431
             71             71         28.028         35.917        11.3429
             72             72         28.102         36.000        11.3429
             73             73         28.175         36.083         11.343
             74             74         28.261         36.167         11.343
             75             75         28.338         36.250         11.343
             76             76         28.413         36.333         11.343
             77             77         28.499         36.417         11.343
             78             78         28.589         36.500        11.3429
             79             79         28.680         36.583        11.3428
             80             80         28.768         36.667        11.3426
             81             81         28.849         36.750        11.3425
             82             82         28.935         36.833        11.3424
             83             83         29.026         36.917        11.3424
             84             84         29.120         37.000        11.3425
             85             85         29.208         37.083        11.3424
             86             86         29.309         37.167        11.3424
             87             87         29.399         37.250        11.3424
             88             88         29.481         37.333        11.3425
             89             89         29.576         37.417        11.3424
             90             90         29.662         37.500        11.3424
             91             91         29.757         37.583        11.3423
             92             92         29.864         37.667        11.3423
             93             93         29.967         37.750        11.3423
             94             94         30.066         37.833        11.3422
             95             95         30.149         37.917        11.3421
             96             96         30.261         38.000        11.3419
             97             97         30.351         38.083        11.3418
             98             98         30.448         38.167        11.3417
             99             99         30.544         38.250        11.3416
            100            100         30.649         38.333        11.3415
            101            101         30.737         38.417        11.3416
            102            102         30.835         38.500        11.3416
            103            103         30.944         38.583        11.3416
            104            104         31.043         38.667        11.3416
            105            105         31.142         38.750        11.3416
            106            106         31.249         38.833        11.3416
            107            107         31.351         38.917        11.3416
            108            108         31.461         39.000        11.3413
            109            109         31.545         39.083        11.3411
            110            110         31.656         39.167        11.3409
            111            111         31.745         39.250        11.3407
            112            112         31.860         39.333        11.3403
            113            113         31.948         39.417        11.3401
            114            114         32.057         39.500        11.3399
            115            115         32.166         39.583        11.3398
            116            116         32.247         39.667        11.3399
            117            117         32.345         39.750        11.3398
            118            118         32.456         39.833        11.3397
            119            119         32.556         39.917        11.3397
            120            120         32.659         40.000        11.3398
            121            121         32.756         40.083        11.3398
            122            122         32.853         40.167        11.3398
            123            123         32.967         40.250        11.3397
            124            124         33.065         40.333        11.3396
            125            125         33.174         40.417        11.3395
            126            126         33.262         40.500        11.3393
            127            127         33.361         40.583        11.3391
            128            128         33.465         40.667        11.3389
            129            129         33.565         40.750        11.3387
            130            130         33.663         40.833        11.3385
            131            131         33.763         40.917        11.3384
            132            132         33.855         41.000        11.3382
            133            133         33.955         41.083        11.3381
            134            134         34.057         41.167        11.3381
            135            135         34.158         41.250         11.338
            136            136         34.257         41.333        11.3379
            137            137         34.350         41.417        11.3377
            138            138         34.453         41.500        11.3376
            139            139         34.552         41.583        11.3374
            140            140         34.657         41.667        11.3373
            141            141         34.738         41.750        11.3369
            142            142         34.837         41.833        11.3366
            143            143         34.929         41.917        11.3364
            144            144         35.033         42.000        11.3361
            145            145         35.121         42.083        11.3357
            146            146         35.227         42.167        11.3354
            147            147         35.325         42.250        11.3353
            148            148         35.408         42.333        11.3351
            149            149         35.506         42.417        11.3349
            150            150         35.608         42.500        11.3347
